"","it","alpha","N","E","D","C","L","w","SWI"
"1576",169,1.45,436,4883,0.0514921438363387,0.109012291523057,2.32548771485817,0.48096485239483,-0.00819731223523476
"1577",170,1.45,438,5049,0.0527569668662424,0.10671031096563,2.30669884956584,0.478919760881697,-0.0121729586461973
"1578",171,1.45,440,4828,0.0499896458894181,0.104420320835734,2.34400496997308,0.477037443325486,-0.00520794996814091
"1579",172,1.45,442,5076,0.0520823714101025,0.113827757282788,2.32603810755071,0.491171137783126,-0.0149116178840936
"1580",173,1.45,444,5095,0.0518068858926647,0.115588025900939,2.32633762430602,0.493003548386954,-0.0152254611843964
"1581",174,1.45,446,5072,0.0511109991434474,0.108205405127414,2.3250667607195,0.482949068965651,-0.0114428213758069
"1582",175,1.45,448,5086,0.0507949824224992,0.108495052049865,2.32542345797379,0.48302696307072,-0.0112030776802447
"1583",176,1.45,450,5284,0.0523038851769364,0.107172587665401,2.31087354615194,0.484113617450076,-0.0170344668846335
"1584",177,1.45,452,5335,0.0523418951003669,0.108131569069069,2.30522143515884,0.484586870562216,-0.0180519555209596
"1585",178,1.45,454,5227,0.0508309750950589,0.109490305162399,2.32344331962151,0.486268815016029,-0.0145063935032391
"1586",179,1.45,456,5402,0.0520724889145942,0.108355389248882,2.3061017929439,0.48576807487161,-0.0192161247162788
"1587",180,1.45,458,5348,0.0511022139833545,0.104801539005143,2.31848107555445,0.482565143763229,-0.0160374333130241
"1588",181,1.45,460,5500,0.0520981339395662,0.106337633202468,2.30042625745951,0.483798678446484,-0.0202750545875113
"1589",182,1.45,462,5555,0.0521640326412561,0.107324404367237,2.30349043581148,0.486760967321222,-0.0223826512687231
"1590",183,1.45,464,5558,0.0517427571311537,0.109136034343976,2.30719818276607,0.489007013835616,-0.0226292953976592
"1591",184,1.45,466,5505,0.0508099127786238,0.106979496165487,2.32031935022382,0.48762131128708,-0.0198233865655388
"1592",185,1.45,468,5657,0.0517670528377167,0.104428060190575,2.30012445322938,0.483726223992394,-0.0223789519797674
"1593",186,1.45,470,5746,0.0521344644558363,0.109488744833952,2.29745497436828,0.490569310611666,-0.0273269176047542
"1594",187,1.45,472,5631,0.0506585339522833,0.108247422680412,2.31660908992767,0.489841951632362,-0.0225481573481642
"1595",188,1.45,474,5817,0.0518907057028929,0.10877940535831,2.29961374117983,0.491107554444125,-0.0284388969879783
"1596",189,1.45,476,5839,0.0516497125165856,0.109535976263084,2.29951348960637,0.49181143286482,-0.0287870762428761
"1597",190,1.45,478,5867,0.0514635579765445,0.106370463592465,2.30025525644062,0.488724060566458,-0.027547067922488
"1598",191,1.45,480,5872,0.0510786360473208,0.110740735670577,2.30995128740431,0.495425149130684,-0.0299884306407311
"1599",192,1.45,482,6027,0.0519923051043383,0.10775293957239,2.28484053795257,0.489462510302056,-0.0318456549491766
"1600",193,1.45,484,6076,0.0519822733261468,0.108572278098094,2.29152336464589,0.492899644180601,-0.0343279314718431
"1601",194,1.45,486,5989,0.0508166815154215,0.106062437059416,2.30081031776335,0.489287529928273,-0.0289003455317094
"1602",195,1.45,488,6127,0.051561921432659,0.10886572717311,2.29448446494092,0.49404257238395,-0.0351269517275633
"1603",196,1.45,490,6221,0.0519260464922165,0.108817882611081,2.2853720629356,0.493566456071799,-0.0374883352272768
"1604",197,1.45,492,6422,0.0531684135578627,0.108569961668835,2.26933585018131,0.494001784873304,-0.0442326648163509
"1605",198,1.45,494,6277,0.0515475770093043,0.109829015000524,2.28926427474522,0.495861628851867,-0.0391446073427165
"1606",199,1.45,496,6287,0.0512137504072988,0.109077101649709,2.2973036819811,0.496783495192203,-0.0389762343717002
"1607",200,1.45,498,6383,0.0515785475907655,0.108796462721979,2.28679708774737,0.495677957880166,-0.0411405615766472
